id,identity_to_query
UniRef100_A0A316N7A4/1-72,0.736
UniRef100_A0A0Q3WKD8/1-72,0.667
UniRef100_A0A0R1VGT8/1-72,0.667
UniRef100_UPI0003B71C95/1-72,0.694
UniRef100_UPI000C230D94/1-72,0.694
UniRef100_UPI0019D067EE/1-72,0.708
UniRef100_A0A1M4VGC0/1-72,0.764
UniRef100_A0A1J5IAJ5/1-72,0.694
UniRef100_A0A329KR91/1-72,0.667
UniRef100_A0A0J6FNV4/1-72,0.694
UniRef100_A0A2G4H6E4/1-72,0.653
UniRef100_A0A1J4X9M6/1-72,0.750
UniRef100_A0A7V9S233/1-72,0.681
UniRef100_A0A537YKX3/1-72,0.653
UniRef100_A0A179IRG6/1-72,0.681
UniRef100_A0A3S9H5S7/1-72,0.708
UniRef100_A0A661A5N1/1-72,0.653
UniRef100_A0A350BGY7/1-72,0.694
UniRef100_A0A538BEC7/1-72,0.722
UniRef100_A0A0H0SE82/1-72,0.681
UniRef100_A0A1G0KCE0/1-72,0.833
UniRef100_A0A2V6ZQE2/1-72,0.708
UniRef100_A0A3M1BG49/1-72,0.694
UniRef100_A0A2E6KQ20/1-72,0.833
UniRef100_A0A136K871/1-72,0.708
UniRef100_A0A4Y6PXB6/1-72,0.694
UniRef100_A0A133QWL2/1-72,0.694
UniRef100_A0A1X1FDH9/1-72,0.694
UniRef100_M6DC76/1-72,0.722
UniRef100_UPI001379E170/1-72,0.708
UniRef100_A0A1H9D683/1-72,0.708
UniRef100_A0A2M6YNM5/1-72,0.708
UniRef100_A0A4R3KE00/1-72,0.694
UniRef100_UPI00040B73D1/1-72,0.708
UniRef100_A0A1V5RCT9/1-72,0.722
UniRef100_A0A419SFW2/1-72,0.681
UniRef100_A0A553ZTR2/1-72,0.681
UniRef100_UPI0002F56C18/1-72,0.694
UniRef100_A0A074LPI8/1-72,0.667
UniRef100_UPI000C865740/1-72,0.681
UniRef100_A0A1W1V6J0/1-72,0.681
UniRef100_A0A081C366/1-72,0.736
UniRef100_A0A1Y3QQQ1/1-72,0.694
UniRef100_A0A0R1QES4/1-72,0.653
UniRef100_A0A0S7XEN2/1-72,0.708
UniRef100_A0A522BFJ9/1-72,0.681
UniRef100_A0A533B4P0/1-72,0.667
UniRef100_UPI00155412E6/1-72,0.681
UniRef100_A0A4R1BLE8/1-72,0.750
UniRef100_Q3A9T9/1-72,0.681
UniRef100_C4KZM3/2-73,0.681
UniRef100_Q65P83/1-72,0.694
UniRef100_A0A1U9K3D6/1-72,0.708
UniRef100_A0A7V0SD29/1-72,0.722
UniRef100_A0A0R2AP62/1-72,0.681
UniRef100_A0A1G3VUP6/1-72,0.667
UniRef100_A0A679I846/1-72,0.667
UniRef100_V6HCB0/1-72,0.708
UniRef100_A0A1V5WAH9/1-72,0.722
UniRef100_A0A2Z4FGX1/1-72,0.694
UniRef100_UPI000405FA4A/1-72,0.708
UniRef100_A0A401FLM8/1-72,0.681
UniRef100_A0A1V5JAN4/1-72,0.667
UniRef100_A0A3A4R6S3/1-72,0.708
UniRef100_A0A0S8H490/1-72,0.722
UniRef100_A0A177L158/1-72,0.667
UniRef100_A0A7V1RIW7/1-72,0.708
UniRef100_A0A0C2W8J5/1-72,0.681
UniRef100_K9ECI5/1-72,0.722
UniRef100_A0A1F9BBR8/1-72,0.681
UniRef100_UPI0012EB0F96/1-72,0.694
UniRef100_A0A511UZB8/1-72,0.694
UniRef100_A0A424XW03/1-72,0.681
UniRef100_UPI0007404855/1-72,0.639
UniRef100_UPI0003FD09AD/1-72,0.653
UniRef100_A0A7C5F0B6/1-72,0.667
UniRef100_A0A496S7Z2/1-72,0.653
UniRef100_A0A1I4PAT4/1-72,0.694
UniRef100_A0A1I7I826/1-72,0.653
UniRef100_A0A179C358/1-72,0.653
UniRef100_A0A1M6WEQ6/1-72,0.694
UniRef100_S3GIL1/2-73,0.667
UniRef100_Q3A4P9/1-72,0.681
UniRef100_A0A292YG28/1-72,0.681
UniRef100_A0A8J3EL17/1-72,0.694
UniRef100_A0A1W9HB99/1-72,0.681
UniRef100_C8WTV0/1-72,0.667
UniRef100_A0A1G3V6E9/1-72,0.681
UniRef100_UPI0006D165E3/1-72,0.667
UniRef100_A0A1W1I6U0/1-72,0.681
UniRef100_A0A7W0YGB7/1-72,0.708
UniRef100_A0A2N2HPL1/1-72,0.694
UniRef100_A0A7C6UP09/1-72,0.694
UniRef100_A0A1T4WBB6/1-72,0.694
UniRef100_A0A0R2CCA7/1-72,0.653
UniRef100_A0A0H4T0H6/1-72,0.681
UniRef100_A0A381ZL11/1-72,0.681
UniRef100_A0A532CTK1/1-72,0.667
UniRef100_A0A5Q4VEQ4/1-72,0.667
UniRef100_A0A212JZL3/1-72,0.681
UniRef100_A0A135L7X3/1-72,0.653
UniRef100_UPI00035CD911/1-72,0.694
UniRef100_A0A235B2K7/1-72,0.667
UniRef100_A0A7C6KTV1/1-72,0.667
UniRef100_A0A0S8JKJ3/1-72,0.653
UniRef100_A0A7C7CVB2/1-72,0.681
UniRef100_A0A2N6E7W5/1-72,0.708
UniRef100_A0A8D5ZMH0/1-72,0.681
UniRef100_A0A4V2SLP2/5-76,0.694
UniRef100_A0A1B9AX71/1-72,0.681
UniRef100_A0A1F5RV37/1-72,0.694
UniRef100_A0A3D2A071/1-72,0.875
UniRef100_A0A521JY11/1-72,0.667
UniRef100_A0A347WN39/1-72,0.681
UniRef100_A0A0S7WIV8/1-72,0.653
UniRef100_A0A1F2Y7R8/1-72,0.708
UniRef100_A0A7C1GE85/1-72,0.681
UniRef100_A0A549YH34/1-72,0.694
UniRef100_A0A1K1R953/1-72,0.667
UniRef100_A0A6B8RBL3/1-72,0.681
UniRef100_A0A1W9GGX9/1-72,0.653
UniRef100_UPI00036580ED/1-72,0.681
UniRef100_A0A1G1PP51/1-72,0.639
UniRef100_A0A256WSV1/1-72,0.667
UniRef100_A0A5C8NIT8/1-72,0.708
UniRef100_A0A538C539/1-72,0.708
UniRef100_A0A1Y0IM24/1-72,0.667
UniRef100_A0A1G8HLM5/1-72,0.681
UniRef100_A0A2P8H8N3/1-72,0.694
UniRef100_A0A061NJ71/1-72,0.667
UniRef100_D5XAA6/1-72,0.694
UniRef100_A0A1I2Q897/1-72,0.694
UniRef100_A0A832I3G4/1-72,0.667
UniRef100_A0A1G8QUG8/1-72,0.694
UniRef100_A0A7S8CDS5/1-72,0.694
UniRef100_A0A4R6TY53/1-72,0.681
UniRef100_UPI00065DE248/1-72,0.681
UniRef100_A0A538B119/1-72,0.708
UniRef100_A0A511TG24/1-72,0.722
UniRef100_A0A061P400/1-72,0.681
UniRef100_A0A011RPJ4/1-72,0.681
UniRef100_A0A1G1M5B9/1-72,0.722
UniRef100_A0A2H0CFF1/1-72,0.722
UniRef100_A0A075JJ20/1-72,0.681
UniRef100_UPI001E4D93C4/1-72,0.667
UniRef100_A0A7X7N3U9/1-72,0.750
UniRef100_A0A1L3GIA8/1-72,0.681
UniRef100_A0A1G3UP18/1-72,0.667
UniRef100_A0A831RD33/1-72,0.764
UniRef100_A0A7V3F817/1-72,0.708
UniRef100_UPI00026C235D/1-72,0.708
UniRef100_A0A538APB9/1-72,0.722
UniRef100_A0A430B2C0/1-72,0.708
UniRef100_UPI0005BC74DD/1-72,0.875
UniRef100_A0A1H4QIQ7/1-72,0.667
UniRef100_UPI0005EBA419/1-72,0.653
UniRef100_A0A4R5XH01/1-72,0.681
UniRef100_A0A2M7YR50/1-72,0.694
UniRef100_A0A0R2DGB4/1-72,0.667
UniRef100_A0A150M849/1-72,0.681
UniRef100_UPI0013DC9963/1-72,0.694
UniRef100_A0A1X0YE00/1-72,0.722
UniRef100_Q1WSB2/1-72,0.667
UniRef100_A0A6G8QAY3/1-72,0.736
UniRef100_A0A0C2TXB4/1-72,0.681
UniRef100_A0A7C5J7S9/1-72,0.833
UniRef100_A0A0R2CN73/1-72,0.681
UniRef100_A0A087EPL6/1-72,0.681
UniRef100_A0A3M1ZWP2/1-72,0.694
UniRef100_A0A2W4K3X9/1-72,0.722
UniRef100_A0A7W1X951/1-72,0.653
UniRef100_UPI0011C95A36/1-72,0.750
UniRef100_A0A161PUW2/1-72,0.722
UniRef100_A0A0U2W8N8/1-72,0.667
UniRef100_A0A7V5V944/1-72,0.736
UniRef100_A0A6V8LU91/1-72,0.750
UniRef100_A0A1L3GLK6/1-72,0.708
UniRef100_A0A7W0U7U4/1-72,0.653
UniRef100_A0A0R1SZ88/1-72,0.667
UniRef100_E4KMQ0/1-72,0.694
UniRef100_A0A533Y1H5/1-72,0.694
UniRef100_A0A7C7DMX4/1-72,0.722
UniRef100_UPI00046CFAEE/1-72,0.694
UniRef100_A0A349A1Q4/1-72,0.681
UniRef100_A0A1G1IFN9/1-72,0.681
UniRef100_UPI001AE675C9/1-72,0.681
UniRef100_A0A091FER0/1-72,0.681
UniRef100_F2NJB6/1-72,0.708
UniRef100_A0A7Z8VKU8/1-72,0.819
UniRef100_A0A7I8DB44/1-72,0.708
UniRef100_A0A0S8H0P2/1-72,0.653
UniRef100_A0A0K9H165/1-72,0.694
UniRef100_A0A8E6DC73/1-72,0.694
UniRef100_A0A7T6YZT6/1-72,0.681
UniRef100_A0A424YID0/1-72,0.722
UniRef100_A0A4Y8IHK2/1-72,0.667
UniRef100_A0A0M3RAK9/1-72,0.681
UniRef100_UPI000FD802FD/1-72,0.681
UniRef100_A0A7C6JF98/1-72,0.708
UniRef100_A0A1W9S2Q3/1-72,0.667
UniRef100_A0A6G8PV83/1-72,0.736
UniRef100_UPI0004700246/1-72,0.681
UniRef100_A0A369AZC2/1-72,0.722
UniRef100_A0A3M1MX01/1-72,0.694
UniRef100_A0A3S0AAZ9/1-72,0.708
UniRef100_P20458/1-72,0.681
UniRef100_A0A2G6E1H9/1-72,0.722
UniRef100_A0A7W1MYI3/1-72,0.681
UniRef100_A0A1N7N159/1-72,0.681
UniRef100_UPI000F5BC66E/1-72,0.625
UniRef100_UPI00195FD42B/1-72,0.681
UniRef100_A0A2T4Z1N6/1-72,0.653
UniRef100_A0A523K5P9/1-72,0.819
UniRef100_A0A1S6QJ53/1-72,0.681
UniRef100_A0A2G6KKE6/1-72,0.736
UniRef100_A0A1V5SSK4/1-72,0.708
UniRef100_UPI0004028D14/1-72,0.681
UniRef100_A0A5D3WQR1/1-72,0.694
UniRef100_A0A419GDZ5/1-72,0.681
UniRef100_A0A7C6QNW1/1-72,0.708
UniRef100_A0A2S5G6N0/1-72,0.681
UniRef100_A0A0R2K4H9/1-72,0.694
UniRef100_A0A538SN86/1-72,0.681
UniRef100_A0A7W1F7D7/1-72,0.694
UniRef100_A0A1X6WKT8/1-72,0.736
UniRef100_A0A661CC96/1-72,0.833
UniRef100_A0A2V7A374/1-72,0.708
UniRef100_A0A430AV48/1-72,0.722
UniRef100_Q04PW0/1-72,0.722
UniRef100_A0A358AGW9/1-72,0.681
UniRef100_A0A3N5FA12/1-72,0.681
UniRef100_A0A1C0ABU5/1-72,0.708
UniRef100_A0A832MRG5/1-72,0.681
UniRef100_A0A3S9T2J0/1-72,0.708
UniRef100_UPI0006182585/1-72,0.653
UniRef100_A0A1F3XFU2/1-72,0.681
UniRef100_A0A1F9DJN5/1-72,0.681
UniRef100_A0A1F4Y7I8/1-72,0.653
UniRef100_A0A329LRE1/1-72,0.667
UniRef100_A0A1F4X6F0/1-72,0.625
UniRef100_A0A7C1J0U5/1-72,0.667
UniRef100_A0A3M1UL47/1-72,0.847
UniRef100_A0A1G2WGX6/1-72,0.694
UniRef100_A0A352JP81/1-72,0.653
UniRef100_A0A0M2PE02/1-72,0.694
UniRef100_A0A148NBQ5/1-72,0.792
UniRef100_A0A640YAX3/1-72,0.653
UniRef100_A0A1V5I1N3/1-72,0.694
UniRef100_A0A2Z5Y0K0/1-72,0.708
UniRef100_A0A2E0PWB0/1-72,0.889
UniRef100_A0A2N2DDK9/1-72,0.667
UniRef100_UPI001D0A8C9A/1-72,0.639
UniRef100_B2A4G0/14-85,0.722
UniRef100_UPI001C3A156C/1-72,0.681
UniRef100_A0A3N5KEN1/1-72,0.681
UniRef100_UPI0001E1301D/1-72,0.681
UniRef100_A0A661J8S5/1-72,0.667
UniRef100_A0A8A0RKN6/1-72,0.722
UniRef100_A0A0Q3WZY0/1-72,0.681
UniRef100_UPI0015F6736E/1-72,0.708
UniRef100_A0A1Q2D600/1-72,0.708
UniRef100_A0A2V3VT85/1-72,0.681
UniRef100_A0A0A2X1G2/1-72,0.764
UniRef100_M1QCC4/3-74,0.681
UniRef100_A0A1Q2KUA7/1-72,0.667
UniRef100_UPI0004240C2F/1-72,0.681
UniRef100_A0A836T9C8/1-72,0.667
UniRef100_E1JRJ1/1-72,0.694
UniRef100_A0A800ARQ8/1-72,0.639
UniRef100_A0A1I6T5W5/1-72,0.681
UniRef100_A0A3C2B8Z4/1-72,0.722
UniRef100_UPI001E4F5347/1-72,0.708
UniRef100_UPI000C072CB8/1-72,0.681
UniRef100_A0A1I3QX30/1-72,0.667
UniRef100_UPI0004110A8B/1-72,0.681
UniRef100_A0A0R1M7D4/1-72,0.639
UniRef100_B8J4F1/1-72,0.708
UniRef100_A0A370GZ16/1-72,0.778
UniRef100_UPI001CFBFDEE/1-72,0.667
UniRef100_A0A419UTT8/1-72,0.681
UniRef100_UPI000832FF7D/1-72,0.653
UniRef100_A0A177QJ51/1-72,0.681
UniRef100_H5SGU8/1-72,0.792
UniRef100_A0A3N1VNC1/1-72,0.694
UniRef100_A0A841RP28/1-72,0.694
UniRef100_A0A2N2F9E1/1-72,0.667
UniRef100_A0A101DJ97/1-72,0.694
UniRef100_A0A849MH61/1-72,0.875
UniRef100_A0A3R9KP69/1-72,0.681
UniRef100_D8ICX3/1-72,0.653
UniRef100_A0A1G0JLH6/1-72,0.847
UniRef100_A0A3M1E0Y0/1-72,0.694
UniRef100_V4LDV9/1-72,0.847
UniRef100_A0A1G1R3E7/1-72,0.681
UniRef100_A0A1M5MCH3/1-72,0.694
UniRef100_UPI001C0EF34A/1-72,0.708
UniRef100_A0A0A1MP82/1-72,0.708
UniRef100_A0A533XRL4/1-72,0.681
UniRef100_C4XS43/11-82,0.694
UniRef100_A0A7U6GJE3/1-72,0.847
UniRef100_A0A0V8IUL4/1-72,0.694
UniRef100_P61686/1-72,0.694
UniRef100_UPI0004820E1B/1-72,0.694
UniRef100_A0A2V7AAB9/4-73,0.722
UniRef100_A0A0S8IVX2/1-72,0.667
UniRef100_A0A372L805/1-72,0.667
UniRef100_A0A1H2XEM9/1-72,0.667
UniRef100_A0A2V6V2Y8/4-73,0.722
UniRef100_A0A179T3B2/1-72,0.681
UniRef100_UPI001F0432BB/1-72,0.764
UniRef100_A0A0H4TTI8/13-84,0.708
UniRef100_UPI00147274C0/1-72,0.653
UniRef100_A0A1H4HDH0/1-72,0.681
UniRef100_A0A0U4E7T0/1-72,0.708
UniRef100_A0A0C2V564/1-72,0.653
UniRef100_A0A1W9UHJ9/1-72,0.708
UniRef100_E6W732/1-72,0.694
UniRef100_A8F9A8/1-72,0.681
UniRef100_UPI0003B55DC3/1-72,0.792
UniRef100_A7X5D0/1-72,0.694
UniRef100_A0A354YTW5/1-72,0.708
UniRef100_A0A1B1YZF7/1-72,0.708
UniRef100_A0A1V5EDW1/1-72,0.681
UniRef100_A0A2N2ABQ2/1-72,0.681
UniRef100_A0A4Q4JES5/1-72,0.667
UniRef100_W1Q3J7/1-72,0.681
UniRef100_A0A1G1N446/1-72,0.653
UniRef100_A0A4Z0DCS1/1-72,0.736
UniRef100_A0A419GM06/3-73,0.694
UniRef100_A0A2V7HZ79/1-72,0.708
UniRef100_A0A839A7U9/1-72,0.667
UniRef100_UPI000A30BE6B/1-72,0.681
UniRef100_A0A3A0AGB3/1-72,0.694
UniRef100_N4WNS5/1-72,0.694
UniRef100_Q8ETW2/1-72,0.694
UniRef100_A0A101XPD7/1-72,0.653
UniRef100_A0A0C2HX70/1-72,0.681
UniRef100_UPI00139C5186/1-72,0.694
UniRef100_UPI0007856D03/1-72,0.694
UniRef100_A0A1E7HR07/1-72,0.708
UniRef100_A0A3M1UYY8/1-72,0.889
UniRef100_A0A0A5FZY6/1-72,0.722
UniRef100_A0A1H4BHL1/1-72,0.722
UniRef100_Q67JW6/1-72,0.667
UniRef100_A0A7C5Z2B4/1-72,0.694
UniRef100_A0A2V1MY51/1-72,0.639
UniRef100_A0A5M8FVF3/1-72,0.861
UniRef100_A0A523N4Y7/1-72,0.694
UniRef100_UPI0019D0334D/1-72,0.708
UniRef100_A0A1Y6B2X4/1-72,0.667
UniRef100_D6SUR3/1-72,0.667
UniRef100_UPI0004A73A6A/1-72,0.708
UniRef100_UPI0004217947/1-72,0.694
UniRef100_UPI00041AC6C3/1-72,0.708
UniRef100_A0A2N6E6P1/1-72,0.708
UniRef100_A0A2M8GCG3/1-72,0.667
UniRef100_UPI0009AFC0B9/1-72,0.667
UniRef100_T0LHN0/1-72,0.625
UniRef100_A0A0B5FGI8/1-72,0.694
UniRef100_A0A1V4XQJ1/1-72,0.667
UniRef100_UPI00108103FB/1-72,0.667
UniRef100_A0A7V9H4D3/1-72,0.722
UniRef100_V6Q284/1-72,0.708
UniRef100_A0A7C4SR10/1-72,0.681
UniRef100_UPI000D1B3903/1-72,0.708
UniRef100_Q2LQB5/1-72,0.667
UniRef100_UPI00070F8C45/1-72,0.653
UniRef100_A0A7W1Z2D6/1-72,0.681
UniRef100_A0A7X8EAA8/1-72,0.667
UniRef100_A0A7X9QUC0/1-72,0.694
UniRef100_A0A2M7FB67/1-72,0.694
UniRef100_A0A0S8DZT8/1-72,0.653
UniRef100_A0A349SRA4/1-72,0.875
UniRef100_A0A1F9A293/1-72,0.667
UniRef100_UPI0005CBB103/1-72,0.667
UniRef100_A0A7C5R9Z6/1-72,0.653
UniRef100_A0A381VJY4/1-72,0.681
UniRef100_A0A7W0H5U5/1-72,0.653
UniRef100_A0A3D1Q5W1/1-72,0.708
UniRef100_W4LUZ7/1-72,0.708
UniRef100_A0A3B1DBV0/1-72,0.736
UniRef100_K1MG40/1-72,0.708
UniRef100_A0A0C1M5A2/1-72,0.653
UniRef100_A0A140L575/1-72,0.736
UniRef100_C6C160/1-72,0.667
UniRef100_A0A2D6DI36/1-72,0.847
UniRef100_A0A1V5P4K2/1-72,0.639
UniRef100_Q1JXG4/1-72,0.694
UniRef100_UPI0004820910/1-72,0.639
UniRef100_A0A2E2WSM6/1-72,0.847
UniRef100_A0A0R2KHX2/1-72,0.722
UniRef100_A0A7V9HSG2/1-72,0.653
UniRef100_A0A357AYJ2/1-72,0.681
UniRef100_A0A2N6FGC1/1-72,0.708
UniRef100_A0A0Q3SHM4/1-72,0.708
UniRef100_A0A5C6X8D5/1-72,0.639
UniRef100_A0A7T9HID4/1-72,0.694
UniRef100_A0A7V6YVY7/1-72,0.708
UniRef100_A0A2I7SP84/1-72,0.653
UniRef100_A0A3P1ZWC8/1-72,0.708
UniRef100_A0A7C6MWL0/1-72,0.736
UniRef100_A0A2G6NTM8/1-72,0.667
UniRef100_A0A2N3FFH0/3-73,0.736
UniRef100_A0A143B797/1-72,0.694
UniRef100_A0A3M1DRE5/1-72,0.819
UniRef100_A0A847BXW8/1-72,0.722
UniRef100_A0A0A5GDX6/1-72,0.736
UniRef100_UPI000A6FDE2A/1-72,0.694
UniRef100_A0A421BHD5/1-72,0.653
UniRef100_A0A0C2VXS2/1-72,0.667
UniRef100_E4RJ97/1-72,0.736
UniRef100_A0A6G1XAU0/1-72,0.694
UniRef100_A0A150WX62/1-72,0.681
UniRef100_A0A0A5GB24/1-72,0.694
UniRef100_A0A1G7AKY4/1-72,0.694
UniRef100_A0A401IV40/1-72,0.667
UniRef100_UPI001AEAA358/1-72,0.667
UniRef100_A0A7C1WLB5/1-72,0.708
UniRef100_A0A1H8HYX8/1-72,0.667
UniRef100_A0A1V4MP73/1-72,0.708
UniRef100_A0A7X2S8A1/1-72,0.667
UniRef100_A0A6P1ZDM2/1-72,0.736
UniRef100_UPI001D8BEE66/1-72,0.681
UniRef100_A0A3A6N3V6/1-72,0.653
