id,identity_to_query
UniRef100_A0A1Q4GS83/1-356,0.639
UniRef100_A0A522LYT2/1-358,0.645
UniRef100_A0A6P1TFV3/1-358,0.626
UniRef100_A0A3C1MWB9/1-358,0.631
UniRef100_UPI00088393C8/1-361,0.863
UniRef100_A0A087FD16/1-363,0.814
UniRef100_UPI001648B3DA/1-361,0.855
UniRef100_A0A5R9QGN9/1-359,0.776
UniRef100_A0A2A2FUE3/1-356,0.683
UniRef100_A0A2S3W8N3/1-361,0.844
UniRef100_A0A7C1CWJ1/1-356,0.661
UniRef100_UPI000357F2C0/1-364,0.869
UniRef100_UPI000F611035/1-360,0.615
UniRef100_A0A2N7U6T1/10-367,0.631
UniRef100_A0A4U0YU22/1-355,0.699
UniRef100_A0A6A7YTW2/1-364,0.888
UniRef100_UPI0006479E6B/1-355,0.615
UniRef100_A0A1F3X1W1/1-360,0.623
UniRef100_A0A6G8DFG4/1-358,0.634
UniRef100_UPI000BA439DE/1-364,0.918
UniRef100_A0A0S8A690/1-359,0.601
UniRef100_UPI001E325EB9/1-357,0.787
UniRef100_UPI001645AED5/1-364,0.923
UniRef100_UPI001412BF8E/1-361,0.869
UniRef100_A0A7W4Q8H4/1-360,0.781
UniRef100_UPI001300D77D/1-272,0.415
UniRef100_A0A239CHX9/1-361,0.863
UniRef100_A0A1H6TDI9/1-361,0.781
UniRef100_UPI00117A608A/1-363,0.814
UniRef100_A0A432FTK6/7-359,0.642
UniRef100_A0A358CB19/1-355,0.637
UniRef100_UPI000BA1EEB4/1-364,0.904
UniRef100_UPI00140D7470/1-361,0.883
UniRef100_A0A6L6JHX3/1-357,0.601
UniRef100_A0A2A4RJR5/1-356,0.598
UniRef100_A0A2G2CCX8/1-357,0.697
UniRef100_A0A2S5QH53/1-356,0.609
UniRef100_UPI00041CB5FB/1-359,0.637
UniRef100_UPI00083A21F8/1-362,0.781
UniRef100_C1DHQ5/1-361,0.784
UniRef100_UPI001BAB193A/1-360,0.552
UniRef100_A0A1G0NAS8/1-358,0.645
UniRef100_UPI00069F7307/1-364,0.923
UniRef100_A0A315WTD5/1-361,0.872
UniRef100_A0A1B8VET4/1-361,0.773
UniRef100_A0A7H8PVS3/1-358,0.634
UniRef100_UPI000A1E0F8E/1-364,0.921
UniRef100_A0A7Y7XCV6/1-364,0.932
UniRef100_A0A1Y0GB22/1-359,0.609
UniRef100_A0A7W4D8X4/1-360,0.779
UniRef100_UPI0018A25A11/1-360,0.740
UniRef100_A0A5A9W829/1-356,0.658
UniRef100_UPI000BABA53F/1-360,0.798
UniRef100_UPI000FDB0FD2/1-355,0.604
UniRef100_A0A661FG56/5-358,0.574
UniRef100_UPI0015E43591/1-361,0.844
UniRef100_A0A370D9U0/1-356,0.596
UniRef100_A0A2S5QRW6/1-355,0.598
UniRef100_UPI0010F53DB3/1-360,0.803
UniRef100_C0N3G5/1-358,0.601
UniRef100_A0A2R3QLH7/1-360,0.798
UniRef100_A0A1G1B3A5/1-357,0.607
UniRef100_UPI000761276D/1-361,0.852
UniRef100_A0A1F6U510/1-359,0.669
UniRef100_A0A562IJX6/1-356,0.743
UniRef100_UPI00177E0678/1-359,0.850
UniRef100_A0A258LDW9/1-355,0.612
UniRef100_A0A7U7I7P6/1-359,0.792
UniRef100_UPI0016645BBF/1-361,0.757
UniRef100_A0A259ETB9/1-356,0.637
UniRef100_UPI001CF5970F/1-357,0.604
UniRef100_UPI000BA3D61F/1-364,0.910
UniRef100_A0A8I0SGP8/1-360,0.801
UniRef100_UPI000363C8B3/1-355,0.601
UniRef100_UPI001F433B35/3-357,0.628
UniRef100_UPI001BCAD0CB/1-362,0.825
UniRef100_UPI0015E425F2/1-361,0.852
UniRef100_A0A2V4KPZ3/1-360,0.779
UniRef100_UPI00167AEF6F/1-359,0.626
UniRef100_A0A1J5SEM4/1-356,0.582
UniRef100_A0A2N3H9D4/1-363,0.803
UniRef100_UPI001CF9B903/1-360,0.855
UniRef100_A0A7X3L7S6/1-361,0.809
UniRef100_UPI001908AFD5/1-361,0.863
UniRef100_A0A7V5JIP2/1-358,0.626
UniRef100_A0A1N6WHA4/1-356,0.801
UniRef100_UPI00188F8D06/1-361,0.852
UniRef100_A0A7L5RSF1/1-360,0.757
UniRef100_A0A8I1SXX1/1-355,0.639
UniRef100_A0A258S6D6/1-359,0.601
UniRef100_A0A1H1YYE8/1-356,0.686
UniRef100_A0A661DKD2/1-358,0.596
UniRef100_A0A3M1VEJ3/5-359,0.653
UniRef100_A0A0D6BAJ0/1-364,0.921
UniRef100_UPI0005B32A96/1-356,0.546
UniRef100_A0A1M6Z8U1/1-356,0.792
UniRef100_A0A6I4KSC3/1-357,0.790
UniRef100_A0A7X8YGW9/1-359,0.552
UniRef100_UPI001BD5EC8F/1-361,0.847
UniRef100_A0A212BPW0/1-361,0.803
UniRef100_A0A6I6GYT9/1-361,0.883
UniRef100_UPI001C805C52/1-357,0.768
UniRef100_UPI000476D321/1-356,0.648
UniRef100_A0A3T0SC38/1-358,0.773
UniRef100_A0A1Y0FZU0/1-355,0.634
UniRef100_UPI0017842696/1-360,0.779
UniRef100_UPI0008119A6F/1-361,0.869
UniRef100_A0A1E4L780/1-356,0.639
UniRef100_A0A553GYZ5/1-362,0.790
UniRef100_A0A1H4Z4J7/1-358,0.811
UniRef100_A0A2N2RV36/1-356,0.609
UniRef100_UPI0002557F08/1-358,0.628
UniRef100_A0A1E4V3X9/1-360,0.822
UniRef100_A0A385Z741/1-360,0.784
UniRef100_A0A1Q4EH52/1-355,0.637
UniRef100_A0A2I0F477/1-360,0.555
UniRef100_A0A7C5IYT5/1-355,0.634
UniRef100_A0A7C9JV97/1-356,0.656
UniRef100_UPI001238A6C1/1-356,0.664
UniRef100_A0A809RNM9/4-363,0.607
UniRef100_UPI0002E4DBAE/1-360,0.773
UniRef100_A0A2R8CMU3/1-359,0.617
UniRef100_A0A1Y3KTV6/1-361,0.869
UniRef100_UPI001EDE5F29/1-356,0.773
UniRef100_A0A1Z7WX94/1-358,0.612
UniRef100_UPI000416A432/1-357,0.587
UniRef100_A0A8I1N858/1-356,0.637
UniRef100_A0A2M8H5R0/1-356,0.557
UniRef100_A0A3S9L9X1/1-357,0.568
UniRef100_UPI000F786520/1-359,0.790
UniRef100_A0A3M1UG43/1-357,0.620
UniRef100_UPI001AB028E1/1-363,0.787
UniRef100_A0A653W1S3/1-361,0.809
UniRef100_A0A2P6JMM5/1-355,0.680
UniRef100_UPI00135AC4EF/1-358,0.609
UniRef100_W9VLX0/3-357,0.609
UniRef100_UPI001E3A0401/1-358,0.609
UniRef100_UPI001913D5CB/1-361,0.858
UniRef100_A0A4D4IWA3/1-357,0.574
UniRef100_UPI0005BE66B0/1-358,0.617
UniRef100_UPI000BA3B39B/1-361,0.874
UniRef100_UPI000302F2ED/1-364,0.915
UniRef100_A0A061JVV5/1-361,0.781
UniRef100_A0A8F4E3L3/1-356,0.574
UniRef100_A0A2W5XHC8/1-363,0.809
UniRef100_UPI0015E40312/1-361,0.792
UniRef100_M7PTZ1/1-358,0.609
UniRef100_UPI001F230EFB/1-361,0.798
UniRef100_UPI000561E394/1-356,0.601
UniRef100_A0A090AHD3/1-358,0.579
UniRef100_A0A1N6SVZ4/1-356,0.593
UniRef100_A0A3B0X3A7/1-356,0.604
UniRef100_UPI0017863961/1-360,0.779
UniRef100_UPI001EF07EC2/1-355,0.672
UniRef100_A0A4R7WR80/1-360,0.831
UniRef100_UPI0004083F1F/1-362,0.773
UniRef100_A0A8J7K4Q1/1-357,0.658
UniRef100_A0A1G7VLU8/1-359,0.795
UniRef100_I1XEU8/2-359,0.601
UniRef100_UPI0005CFE4E7/1-362,0.795
UniRef100_A0A329IW46/1-359,0.831
UniRef100_A0A1H6TV56/1-359,0.801
UniRef100_A0A2E2D4S4/1-359,0.587
UniRef100_A0A1F6T1D8/1-358,0.642
UniRef100_A0A1H1V9I7/1-356,0.680
UniRef100_UPI00044C1361/1-363,0.806
UniRef100_A0A1Y0KWF2/1-362,0.795
UniRef100_A0A1D2X8P5/1-358,0.634
UniRef100_A0A0U5BXJ5/5-358,0.620
UniRef100_UPI001BB3F096/1-358,0.642
UniRef100_A0A2G2QE07/1-359,0.628
UniRef100_A0A849UEZ0/1-355,0.598
UniRef100_A0A6N6T5I6/1-356,0.637
UniRef100_UPI001CBEDD97/1-356,0.678
UniRef100_UPI001F35407E/1-355,0.566
UniRef100_UPI000255770B/1-362,0.792
UniRef100_A0A421K4X9/6-361,0.598
UniRef100_A0A3P3VND1/1-356,0.631
UniRef100_F5SY06/1-359,0.598
UniRef100_UPI0004031B0D/1-361,0.842
UniRef100_A0A8J2U1T6/1-356,0.555
UniRef100_A0A800BW01/1-358,0.607
UniRef100_A0A6N1DNF1/1-357,0.612
UniRef100_A0A831RPK9/1-357,0.615
UniRef100_Q3SLY4/1-355,0.628
UniRef100_A0A078MC63/1-356,0.686
UniRef100_UPI000463B8EE/1-359,0.642
UniRef100_UPI00051BB89E/1-356,0.560
UniRef100_A0A4R3XWW7/1-359,0.631
UniRef100_A0A8A9QNL4/1-363,0.814
UniRef100_UPI0012612356/1-362,0.781
UniRef100_A0A7C3H4R3/1-354,0.598
UniRef100_A0A024HQ53/1-362,0.776
UniRef100_A0A023WW98/1-359,0.776
UniRef100_A0A661E7M3/1-356,0.607
UniRef100_A0A4R1G9A0/1-356,0.648
UniRef100_A0A3M2H542/1-362,0.811
UniRef100_UPI000DB927EE/1-357,0.634
UniRef100_UPI00190DD6FB/16-369,0.617
UniRef100_A0A369WER5/4-359,0.639
UniRef100_UPI0016769B8C/1-358,0.609
UniRef100_UPI00190652F9/1-354,0.615
UniRef100_UPI001E4257C4/5-357,0.598
UniRef100_A0A1I1TG09/1-359,0.587
UniRef100_UPI0017873DB2/1-360,0.833
UniRef100_A0A3D9DTM5/1-359,0.620
UniRef100_A0A3N3E6K6/1-357,0.555
UniRef100_A0A1I6BNQ5/1-355,0.683
UniRef100_UPI000DA61187/1-359,0.839
UniRef100_N9U449/1-357,0.585
UniRef100_F9UC93/5-357,0.598
UniRef100_A0A4R5SYL7/1-361,0.855
UniRef100_A0A2G6L0E3/1-357,0.598
UniRef100_A0A1G3E5M5/1-358,0.795
UniRef100_A0A7Z9XPW5/1-358,0.617
UniRef100_A0A545SH63/1-359,0.631
UniRef100_A0A0E9MAI2/1-359,0.626
UniRef100_A0A2S5L014/1-355,0.615
UniRef100_UPI0006EC36C7/1-357,0.585
UniRef100_A0A4Y9VP96/1-356,0.607
UniRef100_C4LB07/1-356,0.579
UniRef100_UPI000781497D/1-358,0.631
UniRef100_UPI00091829E2/1-360,0.549
UniRef100_A0A1B4VCN7/1-357,0.642
UniRef100_A0A7C5SQR4/1-357,0.604
UniRef100_A0A2Z2HA57/1-359,0.607
UniRef100_A0A5P2SIU1/1-362,0.719
UniRef100_UPI0003F81669/1-357,0.620
UniRef100_A0A1F6UKX8/1-359,0.612
UniRef100_A0A3M2HGA6/1-362,0.784
UniRef100_A0A5P1DN77/1-362,0.787
UniRef100_A0A7K4EUP1/1-357,0.617
UniRef100_S6AK61/1-361,0.628
UniRef100_UPI001CFEE59F/1-358,0.607
UniRef100_A0A4R6TVL3/1-361,0.705
UniRef100_UPI001CD000B2/1-356,0.557
UniRef100_A0A7K4E3M8/1-355,0.617
UniRef100_A0A3B0W811/1-356,0.593
UniRef100_UPI001C977027/1-358,0.615
UniRef100_A0A5J6P8P3/1-358,0.628
UniRef100_A0A2N2SDQ5/1-355,0.598
UniRef100_UPI001CFCB4CA/1-358,0.617
UniRef100_UPI000486D7F3/1-356,0.631
UniRef100_A0A7V7KUZ2/1-356,0.661
UniRef100_A0A2E2IKS0/1-357,0.601
UniRef100_A0A2N8M3I3/1-356,0.596
UniRef100_A0A1X9N818/1-355,0.631
UniRef100_A0A1H3ZFX6/1-358,0.596
UniRef100_UPI000CE3BFC5/10-365,0.623
UniRef100_A0A2N8T8H1/1-355,0.776
UniRef100_UPI001C6582AF/1-357,0.560
UniRef100_S6B1A8/1-362,0.792
UniRef100_A0A8D3XYD8/1-362,0.740
UniRef100_A0A261GIV6/1-358,0.615
UniRef100_A0A1I3Y2Y1/1-359,0.601
UniRef100_UPI00187A7E68/1-356,0.770
UniRef100_UPI0005B85742/1-360,0.781
UniRef100_A0A845FTL0/1-356,0.645
UniRef100_UPI001910EF18/1-361,0.880
UniRef100_A0A1A9EUN0/1-355,0.642
UniRef100_I4CXY3/1-361,0.781
UniRef100_UPI000DD0D1BD/1-356,0.555
UniRef100_A0A1F6TJU5/1-360,0.653
UniRef100_UPI0018A94007/1-361,0.850
UniRef100_A0A1F4C4H7/1-360,0.579
UniRef100_D7DNB8/1-356,0.604
UniRef100_A0A1T4XXQ0/1-356,0.604
UniRef100_A0A1G8K8K4/1-361,0.784
UniRef100_A0A109R9F1/1-364,0.877
UniRef100_A0A3D4PVS8/1-358,0.639
UniRef100_A0A0T6UVP8/1-358,0.787
UniRef100_A0A7C5GGH3/1-358,0.607
UniRef100_UPI001626BBD9/1-355,0.694
UniRef100_UPI0008A9DFCE/1-359,0.798
UniRef100_A0A1C4E903/1-361,0.571
UniRef100_A0A1G8RK60/12-368,0.623
UniRef100_A0A5C7R782/1-355,0.631
UniRef100_UPI00156A1688/1-357,0.612
UniRef100_Q0A4Y5/6-359,0.601
UniRef100_A0A849I7T1/1-358,0.571
UniRef100_UPI0003B2F483/1-355,0.538
UniRef100_UPI001F101279/1-359,0.866
UniRef100_A0A2U8SRZ9/1-358,0.779
UniRef100_A0A8A9EKH4/1-355,0.598
UniRef100_UPI0011180D97/1-356,0.557
UniRef100_A0A3L8BEX8/1-359,0.615
UniRef100_A0A2N2Q5U3/1-358,0.617
UniRef100_UPI0006809EF9/1-356,0.560
UniRef100_A0A560QBE1/1-359,0.781
UniRef100_A0A2W5EWI1/1-360,0.795
UniRef100_UPI000F0160C4/1-360,0.825
UniRef100_A0A2N1YV70/1-357,0.801
UniRef100_UPI001F430198/1-359,0.541
UniRef100_UPI00123B07D9/1-357,0.675
UniRef100_A0A8F4EAU1/1-356,0.563
UniRef100_A0A3S4SZD6/1-356,0.560
UniRef100_UPI0015B11C02/6-361,0.604
UniRef100_UPI001E3BDA9D/192-547,0.587
UniRef100_UPI0006BA321F/1-363,0.568
UniRef100_A0A1I1I7A5/1-359,0.609
UniRef100_A0A1N6P6P5/1-360,0.784
UniRef100_A0A0D9AU01/1-361,0.770
UniRef100_A0A2N2AE07/1-354,0.609
UniRef100_UPI000852FBA5/1-361,0.781
UniRef100_A0A1J4Z4M5/1-358,0.648
UniRef100_A0A139BXB9/8-365,0.653
UniRef100_A0A2A4MKK0/1-356,0.601
UniRef100_A0A329HNA6/1-361,0.757
UniRef100_A0A8A2XTB6/1-358,0.549
UniRef100_A0A1M5XHH0/1-357,0.544
UniRef100_A0A7V7KI47/10-365,0.615
UniRef100_A0A3B1ANI3/9-368,0.615
UniRef100_A0A1C7Z9X3/1-359,0.858
UniRef100_UPI0006738B04/1-359,0.620
UniRef100_UPI0007187665/1-359,0.760
UniRef100_A0A1F4E2S1/1-359,0.587
UniRef100_UPI00168778AF/1-356,0.609
UniRef100_A0A3L8B7K2/1-359,0.612
UniRef100_UPI001D028E82/10-365,0.607
UniRef100_A0A2T4IDQ4/1-358,0.612
UniRef100_A0A858R237/1-353,0.631
UniRef100_A0A7C1QIG3/1-354,0.672
UniRef100_A0A8B5WX90/1-356,0.612
UniRef100_A0A4V3ZPC8/1-357,0.615
UniRef100_UPI001E36D51A/181-536,0.571
UniRef100_UPI001E61E559/1-358,0.639
UniRef100_A0A2W7IW02/1-356,0.803
UniRef100_UPI001C31E86E/1-360,0.781
UniRef100_A0A7C1T8B8/1-353,0.639
UniRef100_W1N2S2/14-369,0.617
UniRef100_A0A2N1A7M1/1-355,0.536
UniRef100_UPI0018DBCE60/1-357,0.582
UniRef100_A0A3E0X1M6/1-359,0.590
UniRef100_A0A0Q6B748/1-358,0.617
UniRef100_A0A0U3B422/1-355,0.530
UniRef100_A0A7C5FS03/1-358,0.593
UniRef100_A0A318LGA3/10-365,0.626
UniRef100_UPI0009988A98/1-353,0.598
UniRef100_UPI001659F107/1-360,0.773
UniRef100_UPI001A8CA454/1-358,0.617
UniRef100_A0A6N0HU50/1-361,0.598
UniRef100_E6XHV0/1-355,0.549
UniRef100_A0A0S8EF03/1-359,0.617
UniRef100_UPI0012393EC3/1-356,0.694
UniRef100_UPI000CA1B1F3/1-359,0.555
UniRef100_A0A369CJR4/1-358,0.628
UniRef100_A0A2R7SQU6/1-357,0.806
UniRef100_A0A2I0CM85/1-356,0.751
UniRef100_A0A5C7TAX9/1-360,0.784
UniRef100_Y0KK28/3-360,0.626
UniRef100_A0A496VBJ2/1-361,0.579
UniRef100_A0A370DXE6/6-361,0.598
UniRef100_A0A2N1Z7D4/1-358,0.686
UniRef100_UPI001421108C/1-355,0.637
UniRef100_UPI00143A9324/1-360,0.806
UniRef100_UPI000F5045F7/1-357,0.533
UniRef100_UPI001F3C1830/1-356,0.598
UniRef100_UPI0010A87BA6/1-357,0.579
UniRef100_UPI001AEF6E40/1-357,0.658
UniRef100_U3B9N0/1-361,0.536
UniRef100_A0A2K9LNC1/1-359,0.601
UniRef100_A0A1F6TJI0/1-359,0.669
UniRef100_A0A352R3L4/1-357,0.620
UniRef100_UPI0015C00060/1-356,0.563
UniRef100_A0A8H8XHJ0/1-358,0.781
UniRef100_UPI000F02B619/1-360,0.828
UniRef100_A0A0Q5ENQ9/1-358,0.822
UniRef100_A0A3B0Y2F8/1-356,0.601
UniRef100_A0A7C1ZBG8/1-358,0.585
UniRef100_I1YJ31/2-358,0.590
UniRef100_A0A5R9IBT0/1-358,0.527
UniRef100_UPI001C685B27/1-355,0.560
UniRef100_UPI001BCC245A/1-362,0.760
UniRef100_A0A832J2W4/1-357,0.615
UniRef100_A0A2I8D2V9/1-356,0.571
UniRef100_A0A4V2PR71/1-357,0.560
UniRef100_W0DQT9/1-354,0.623
UniRef100_A0A3R8W366/1-359,0.798
UniRef100_UPI001ADDDFFE/1-355,0.661
UniRef100_A0A5C7RG45/1-356,0.596
UniRef100_UPI001BFE5992/1-362,0.811
UniRef100_A0A849SQC3/1-355,0.596
UniRef100_UPI0005A0F5C6/1-358,0.634
UniRef100_A0A7I6WRS6/1-361,0.563
UniRef100_UPI001EEC9FB8/1-361,0.557
UniRef100_UPI001C0DD4E3/1-356,0.642
UniRef100_A0A839UNU2/1-356,0.612
UniRef100_A0A658BND8/177-523,0.617
UniRef100_A0A2E2XLP3/1-356,0.623
UniRef100_S2KMJ3/16-370,0.623
UniRef100_A0A4R8ISE4/1-359,0.587
UniRef100_A0A5B8CPM1/1-356,0.612
UniRef100_A0A7W5ERP6/9-365,0.626
UniRef100_I3YCQ2/1-357,0.620
UniRef100_A0A4R1HIH6/4-358,0.596
UniRef100_UPI000F069F47/1-359,0.842
UniRef100_A0A1G0DQ29/1-358,0.634
UniRef100_A0A259FFQ3/1-356,0.650
UniRef100_A0A853I2K9/1-355,0.607
UniRef100_A0A7Y4S2B0/1-356,0.585
UniRef100_A0A7W5BZE8/10-365,0.631
UniRef100_A0A4R3JY00/1-358,0.637
UniRef100_A0A391NPG4/1-358,0.770
UniRef100_A0A2T6FG65/1-358,0.601
UniRef100_H1G6D0/1-361,0.617
UniRef100_A0A1G5QWK7/1-359,0.620
UniRef100_A0A4R1BL72/1-358,0.628
UniRef100_A0A6F8V913/177-536,0.615
UniRef100_UPI0000E198FA/1-356,0.609
UniRef100_A0A1G7LVZ4/1-356,0.798
UniRef100_S9ZRF8/188-544,0.598
UniRef100_A0A426QK48/1-358,0.620
UniRef100_UPI000A373F5D/1-356,0.631
UniRef100_B3PI79/3-359,0.620
UniRef100_A0A7V1BPA6/1-356,0.656
UniRef100_UPI0016886909/1-361,0.781
UniRef100_A0A8D4VU29/1-358,0.590
UniRef100_UPI000378998E/5-367,0.626
UniRef100_UPI00051D899B/1-361,0.549
UniRef100_UPI00166897D3/1-355,0.639
UniRef100_UPI0013D306E2/12-367,0.637
UniRef100_A0A1G0B7V9/1-358,0.642
UniRef100_A0A0S8C5N4/1-355,0.590
UniRef100_UPI001903205C/3-358,0.628
UniRef100_UPI001666C7F2/1-354,0.694
UniRef100_UPI000471D176/1-358,0.585
UniRef100_UPI001C04958B/1-356,0.639
UniRef100_A0A839T1R5/1-361,0.735
UniRef100_UPI001EF06742/12-367,0.637
UniRef100_A0A7Y7D950/1-356,0.645
UniRef100_A0A1H3EAM8/11-365,0.579
UniRef100_A0A4P7BX57/1-357,0.628
UniRef100_UPI001C81A3F0/1-357,0.574
UniRef100_UPI001CA3F291/1-362,0.749
UniRef100_A0A0J8VHK8/1-361,0.579
UniRef100_A0A433IH91/1-357,0.639
UniRef100_A0A849TYV9/1-357,0.596
UniRef100_UPI001CD4B77B/12-369,0.617
UniRef100_A0A1H1VZW1/1-360,0.779
UniRef100_A0A0S8AA98/1-357,0.582
UniRef100_A0A3P1SJC0/1-356,0.623
UniRef100_UPI000DA1E5F6/3-358,0.615
UniRef100_A0A1F6T0C7/1-358,0.656
UniRef100_A0A3D5AUN0/1-359,0.596
UniRef100_A0A1H2G5K9/1-361,0.779
UniRef100_A0A8E6BZM4/5-358,0.607
UniRef100_A0A2E2G7J9/1-357,0.617
UniRef100_A0A2J8I249/1-359,0.549
UniRef100_A0A2A2ITZ8/1-361,0.716
UniRef100_K4KPC2/1-356,0.634
UniRef100_UPI0010371B3A/1-359,0.798
UniRef100_V5A5N1/1-361,0.568
UniRef100_A0A3B1BSD8/1-360,0.579
UniRef100_A0A4Y6IXI0/1-356,0.546
UniRef100_A0A7Y4S6T3/1-360,0.607
UniRef100_UPI000413F6EE/1-358,0.604
UniRef100_A0A1Y5EU62/1-357,0.604
UniRef100_A0A1Y1QNZ3/1-355,0.593
UniRef100_A0A2E0A138/4-357,0.631
UniRef100_A0A2E0NHI4/1-357,0.675
UniRef100_A0A5B8QSC8/3-356,0.549
UniRef100_UPI0004641B32/1-356,0.557
UniRef100_A0A357KP05/1-357,0.596
UniRef100_A0A1H2E734/1-358,0.680
UniRef100_UPI001EDFDD5E/1-356,0.527
UniRef100_A0A5J6LJ07/1-354,0.645
UniRef100_A0A329Q847/15-371,0.620
UniRef100_A0A238XTN5/1-356,0.637
UniRef100_Q1GYG7/3-358,0.628
UniRef100_A0A501WXZ6/1-362,0.634
UniRef100_A0A7Z8VKT3/1-357,0.560
UniRef100_A0A7C5ND05/1-357,0.623
UniRef100_I3CKN9/1-360,0.587
UniRef100_A0A4Q9R2B7/1-356,0.751
UniRef100_UPI00039FEE3F/1-356,0.672
UniRef100_A0A2E0WL27/1-357,0.620
UniRef100_UPI000732128A/17-370,0.601
UniRef100_A0A537C7K0/1-358,0.560
UniRef100_A0A3N9TBR8/1-360,0.541
UniRef100_UPI001653F10A/1-360,0.839
UniRef100_A0A553L3C8/1-354,0.519
UniRef100_A0A1I6EAD2/1-359,0.560
UniRef100_A0A3F2V5L2/1-357,0.601
UniRef100_A0A178KKG4/1-358,0.555
UniRef100_UPI000EB49022/1-362,0.740
UniRef100_UPI000CF60880/1-355,0.522
UniRef100_A0A257SUL6/1-355,0.607
UniRef100_UPI001444D994/3-356,0.634
UniRef100_A0A1H1SFW8/1-356,0.680
UniRef100_A0A564K100/1-362,0.571
UniRef100_A0A1H7PE59/10-365,0.626
UniRef100_UPI0005869F7F/1-358,0.617
UniRef100_UPI00111D0BAB/1-358,0.587
UniRef100_A0A1H9YPW5/201-563,0.585
UniRef100_A0A7C1XVL4/1-361,0.617
UniRef100_UPI00188E2369/1-356,0.617
UniRef100_W0V9L4/3-353,0.568
UniRef100_A0A1T2LDH3/1-353,0.604
UniRef100_UPI0015E512D1/1-362,0.563
UniRef100_A0A557SKK0/1-360,0.623
UniRef100_A0A7L6ASZ8/1-356,0.598
UniRef100_A0A3A4VWJ4/1-356,0.615
UniRef100_UPI000F090C84/1-359,0.847
UniRef100_UPI00035F228C/1-355,0.650
UniRef100_C6XAW7/1-356,0.626
UniRef100_A0A2A5G161/1-356,0.612
UniRef100_A0A1G0D7N1/1-359,0.626
UniRef100_UPI000367954A/1-355,0.617
UniRef100_A0A550A160/1-356,0.546
UniRef100_UPI00102F7BFD/1-360,0.574
UniRef100_A0A5C7QZH9/1-356,0.568
UniRef100_A0A368N4D2/1-354,0.563
UniRef100_A0A0S8DWJ4/1-359,0.593
UniRef100_UPI001E2DFB9C/1-355,0.639
UniRef100_UPI00192C9039/1-361,0.563
UniRef100_UPI00142142ED/1-354,0.596
UniRef100_A0A3N2DXE7/1-361,0.568
UniRef100_A0A077LJB4/1-359,0.820
UniRef100_A0A258ZBQ0/192-550,0.631
UniRef100_UPI000D3AB4EA/10-364,0.626
UniRef100_A0A1M7MCB0/13-368,0.615
UniRef100_A0A6C1AZL0/1-358,0.598
UniRef100_UPI001359AD86/1-356,0.639
UniRef100_UPI0006698995/1-362,0.566
UniRef100_A0A1H6D9A3/1-355,0.637
UniRef100_A0A291PBC2/10-365,0.612
UniRef100_A0A6N6LAF9/1-358,0.598
UniRef100_A0A5C7QSN8/1-354,0.604
UniRef100_UPI001C0A2E09/1-355,0.514
UniRef100_A0A6P2A6V3/1-358,0.626
UniRef100_UPI001662E354/1-353,0.626
UniRef100_UPI00045E9892/1-357,0.596
UniRef100_A0A1H0EJ47/9-365,0.626
UniRef100_A0A7C1TTU0/1-359,0.574
